###=============================================================================================
# Coilaco-, Guampoe & Trancura river individual predation event data,
# used in the Gilljam et al AER v.45 chapter.
# 
# CSV-format:
# [Predator ID] [Predator Unique ID] [Predator mass] [Prey ID] [Prey mass] [Locality] [Season]
#
# Note that individual predators can have several prey, ie be represented on several rows,
# having the same Predator Unique ID.
#
# Some predation events lacked data about prey in the original data set. These events are removed.
#
# Data originally from 	David Figueroa
# Reformatted by		David Gilljam (david.gilljam@liu.se)
###=============================================================================================

"","predID","predUniqueID","predMass","preyID","preyMass","locality","season"
"72","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.425104",0.425104,"Thienemaniella sp",0.021778,"Coilaco",NA
"73","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.425104",0.425104,"Antarctoperla michaelseni (Klapalek)",0.242281,"Coilaco",NA
"74","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.425104",0.425104,"Eukiefierella sp",0.092259,"Coilaco",NA
"75","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.104112",0.104112,"Smicridea chilensis (Navás)",0.043713,"Coilaco",NA
"76","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.104112",0.104112,"Glossomatidae Gen. Sp",0.00581,"Coilaco",NA
"77","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.104112",0.104112,"Diamesa sp1",0.010676,"Coilaco",NA
"78","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.049191",0.049191,"Aubertoperla sp (Illies)",0.019528,"Coilaco",NA
"79","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.049191",0.049191,"Orthocladius sp1",0.001051,"Coilaco",NA
"80","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.14341",0.14341,"Aubertoperla sp (Illies)",0.03604,"Coilaco",NA
"81","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.034525",0.034525,"Meridialaris diguillina (Demoulin)",0.00151,"Coilaco",NA
"82","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.034525",0.034525,"Antarctoperla michaelseni (Klapalek)",0.121117,"Coilaco",NA
"83","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.018711",0.018711,"Limnoperla jaffueli (Navás)",0.029504,"Coilaco",NA
"84","Brachycentridae Gen. Sp","Brachycentridae Gen. Sp 0.324724",0.324724,"Orthocladius sp2",8.3e-05,"Coilaco",NA
"85","Polycentropodidae Gen. Sp","Polycentropodidae Gen. Sp 0.260338",0.260338,"Hapsiphlebia anastomosis (Demoulin)",7.6e-05,"Coilaco",NA
"86","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 1.758248",1.758248,"Aubertoperla sp (Illies)",0.3446,"Coilaco",NA
"87","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.96255",0.96255,"Limnoperla jaffueli (Navás)",0.000131,"Coilaco",NA
"88","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.388041",0.388041,"Meridialaris diguillina (Demoulin)",0.00151,"Coilaco",NA
"89","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.388041",0.388041,"Cricotopus sp",0.003925,"Coilaco",NA
"90","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.388041",0.388041,"Orthocladius sp1",0.087427,"Coilaco",NA
"91","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.388041",0.388041,"Diamesa sp1",0.021773,"Coilaco",NA
"92","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 15.769929",15.769929,"Cricotopus sp",0.102653,"Coilaco",NA
"93","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 15.769929",15.769929,"Orthocladius sp1",0.121855,"Coilaco",NA
"94","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 15.769929",15.769929,"Aubertoperla sp (Illies)",0.191745,"Coilaco",NA
"95","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 15.769929",15.769929,"Orthocladius sp1",0.059573,"Coilaco",NA
"96","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 75.50601",75.50601,"Thienemaniella sp",0.121855,"Coilaco",NA
"97","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 75.50601",75.50601,"Antarctoperla michaelseni (Klapalek)",0.409932,"Coilaco",NA
"98","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.367027",0.367027,"Eosericostoma sp",0.361276,"Coilaco",NA
"99","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.367027",0.367027,"Meridialaris diguillina (Demoulin)",0.00151,"Coilaco",NA
"100","Limoniinae Gen. sp","Limoniinae Gen. sp 2.850136",2.850136,"Glossomatidae Gen. Sp",0.001087,"Coilaco",NA
"101","Limoniinae Gen. sp","Limoniinae Gen. sp 2.850136",2.850136,"Criconematidae",7.7e-05,"Coilaco",NA
"102","Limoniinae Gen. sp","Limoniinae Gen. sp 1.391227",1.391227,"Meridialaris diguillina (Demoulin)",0.003617,"Coilaco",NA
"103","Diamphipnoa sp (Gerstaecker)","Diamphipnoa sp (Gerstaecker) 0.500094",0.500094,"Orthocladius sp2",0.121907,"Coilaco",NA
"104","Diamphipnoa sp (Gerstaecker)","Diamphipnoa sp (Gerstaecker) 0.500094",0.500094,"Diamesa sp1",0.103816,"Coilaco",NA
"105","Diamphipnoa sp (Gerstaecker)","Diamphipnoa sp (Gerstaecker) 0.500094",0.500094,"Hapsiphlebia anastomosis (Demoulin)",0.006003,"Coilaco",NA
"106","Diamphipnoa sp (Gerstaecker)","Diamphipnoa sp (Gerstaecker) 0.500094",0.500094,"Aubertoperla sp (Illies)",0.540601,"Coilaco",NA
"107","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 1.177229",1.177229,"Limnoperla jaffueli (Navás)",0.12048,"Coilaco",NA
"108","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 1.48986",1.48986,"Aubertoperla sp (Illies)",4e-06,"Coilaco",NA
"109","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 2.437376",2.437376,"Antarctoperla michaelseni (Klapalek)",0.021295,"Coilaco",NA
"110","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.708818",0.708818,"Aubertoperla sp (Illies)",0.03604,"Coilaco",NA
"111","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.708818",0.708818,"Aubertoperla sp (Illies)",0.050878,"Coilaco",NA
"112","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.708818",0.708818,"Udamocercia sp (Enderlein)",0.033357,"Coilaco",NA
"113","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 1.499975",1.499975,"Orthocladius sp2",0.019161,"Coilaco",NA
"114","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.916843",0.916843,"Meridialaris diguillina (Demoulin)",0.00151,"Coilaco",NA
"115","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.916843",0.916843,"Thienemaniella sp",0.03786,"Coilaco",NA
"116","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.916843",0.916843,"Thienemaniella sp",0.03786,"Coilaco",NA
"117","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.414793",0.414793,"Smicridea chilensis (Navás)",6e-06,"Coilaco",NA
"118","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.414793",0.414793,"Orthocladius sp2",0.019161,"Coilaco",NA
"119","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.414793",0.414793,"Chironominae Gen. sp1",0.059573,"Coilaco",NA
"120","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 2.406425",2.406425,"Copepod (Harpacticoideo)",7.5e-05,"Coilaco",NA
"121","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 2.406425",2.406425,"Orthocladius sp1",0.03786,"Coilaco",NA
"122","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 2.406425",2.406425,"Orthocladius sp1",0.00884,"Coilaco",NA
"123","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Copepod (Harpacticoideo)",7.8e-05,"Coilaco",NA
"124","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Eubosmina (cladocera)",0.029679,"Coilaco",NA
"125","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Eosericostoma sp",0.221323,"Coilaco",NA
"126","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Eubosmina (cladocera)",1.8e-05,"Coilaco",NA
"127","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Eosericostoma sp",0.07347,"Coilaco",NA
"128","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Diamesa sp1",0.059573,"Coilaco",NA
"129","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Orthocladius sp1",0.041754,"Coilaco",NA
"130","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 6.599729",6.599729,"Eubosmina (cladocera)",0.003187,"Coilaco",NA
"131","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 3.278524",3.278524,"Eubosmina (cladocera)",0.051857,"Coilaco",NA
"132","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 3.278524",3.278524,"Copepod (Harpacticoideo)",0.000108,"Coilaco",NA
"133","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 3.278524",3.278524,"Andesiops peruviana (Ulmer)",0.054548,"Coilaco",NA
"134","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 3.278524",3.278524,"Meridialaris diguillina (Demoulin)",5.6e-05,"Coilaco",NA
"135","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.48575",0.48575,"Meridialaris diguillina (Demoulin)",0.001512,"Coilaco",NA
"136","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.48575",0.48575,"Thienemaniella sp",0.014561,"Coilaco",NA
"137","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.704481",0.704481,"Thienemaniella sp",0.008262,"Coilaco",NA
"138","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.704481",0.704481,"Eosericostoma sp",0.07347,"Coilaco",NA
"139","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 1.246122",1.246122,"Spercon (water mite)",0.3442,"Coilaco",NA
"140","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 4.440376",4.440376,"Antarctoperla michaelseni (Klapalek)",0.004019,"Coilaco",NA
"141","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 4.312759",4.312759,"Orthocladius sp1",0.135728,"Coilaco",NA
"142","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 5.228726",5.228726,"Spercon (water mite)",9.612604,"Coilaco",NA
"143","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 5.228726",5.228726,"Podonominae",3.3e-05,"Coilaco",NA
"144","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 1.257297",1.257297,"Orthocladius sp1",0.18192,"Coilaco",NA
"145","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 1.257297",1.257297,"Antarctoperla michaelseni (Klapalek)",0.002285,"Coilaco",NA
"146","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 1.257297",1.257297,"Chironominae Gen. sp1",0.000186,"Coilaco",NA
"147","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.986297",0.986297,"Andesiops peruviana (Ulmer)",0.001438,"Coilaco",NA
"148","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.986297",0.986297,"Andesiops peruviana (Ulmer)",0.000186,"Coilaco",NA
"149","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.798945",0.798945,"Elmis sp1 (Latreille)",0.000399,"Coilaco",NA
"150","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.889458",0.889458,"Orthocladius sp1",6.3e-05,"Coilaco",NA
"151","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.889458",0.889458,"Meridialaris diguillina (Demoulin)",0.54107,"Coilaco",NA
"152","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.986297",0.986297,"Nousia delicata (Navás)",0.000445,"Coilaco",NA
"153","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.986297",0.986297,"Smicridea chilensis (Navás)",0.000243,"Coilaco",NA
"154","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.750268",0.750268,"Orthocladius sp1",0.100358,"Coilaco",NA
"155","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.750268",0.750268,"Orthocladius c.f. excavatus",0.064657,"Coilaco",NA
"156","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.750268",0.750268,"Eukiefierella sp",0.037886,"Coilaco",NA
"157","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.104112",0.104112,"Eukiefierella sp",9.1e-05,"Coilaco",NA
"158","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.104112",0.104112,"Eukiefierella sp",0.010676,"Coilaco",NA
"159","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.104112",0.104112,"Stylodrilis (oligochaeta)",0.094871,"Coilaco",NA
"160","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.4066",0.4066,"Andesiops peruviana (Ulmer)",0.041249,"Coilaco",NA
"161","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.049191",0.049191,"Orthocladius sp2",0.18192,"Coilaco",NA
"162","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 5.517262",5.517262,"Orthocladius sp1",0.158843,"Guampoe",NA
"163","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 5.517262",5.517262,"Diamesa sp1",0.001939,"Guampoe",NA
"164","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 6.387567",6.387567,"Gymnomectrionema sp",0.003925,"Guampoe",NA
"165","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 6.387567",6.387567,"Diamesa sp2",0.283727,"Guampoe",NA
"166","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 2.956469",2.956469,"Orthocladius sp2",0.161928,"Guampoe",NA
"167","Klapoteryx armillata (Navás)","Klapoteryx armillata (Navás) 2.532672",2.532672,"Diamesa sp3",0.001637,"Guampoe",NA
"168","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 5.991202",5.991202,"Smicridea chilensis (Navás)",0.203717,"Guampoe",NA
"169","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 5.991202",5.991202,"Eosericostoma sp",0.016703,"Guampoe",NA
"170","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 5.991202",5.991202,"Diamesa sp1",0.001127,"Guampoe",NA
"171","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 8.69584",8.69584,"Orthocladius sp2",0.282877,"Guampoe",NA
"172","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 7.722232",7.722232,"Orthocladius sp1",0.003035,"Guampoe",NA
"173","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 7.722232",7.722232,"Meridialaris diguillina (Demoulin)",0.000344,"Guampoe",NA
"174","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 7.722232",7.722232,"Thienemaniella sp",0.283727,"Guampoe",NA
"175","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 7.722232",7.722232,"Eukiefierella sp",0.104148,"Guampoe",NA
"176","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 1.257297",1.257297,"Orthocladius sp3",0.000724,"Guampoe",NA
"177","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.655196",0.655196,"Spercon (water mite)",0.167886,"Guampoe",NA
"178","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.655196",0.655196,"Aubertoperla sp (Illies)",0.027004,"Guampoe",NA
"179","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.655196",0.655196,"Meridialaris diguillina (Demoulin)",4e-05,"Guampoe",NA
"180","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.247327",0.247327,"Orthocladius sp1",0.031701,"Guampoe",NA
"181","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 9.744842",9.744842,"Eukiefierella sp",0.063923,"Guampoe",NA
